route_stop_id,route_id,direction_id,stop_sequence,trip_headsign,stop_id
930,801,1,17,801 Southpark Meadows SB,5866
931,271,0,9,271 Grove WB,3238
932,345,1,13,345 Hancock Center EB,3843
933,350,1,22,350 ACC Riverside SB,3299
934,20,0,21,20 Springdale NB,2767
935,5,0,26,5 Tannehill EB,4125
936,322,1,26,322 Hancock Center NB,4737
937,7,1,50,7 Airport/Highland NB,1261
938,7,0,50,7 William Cannon SB,5917
939,837,0,14,837 Downtown SB,6497
940,315,1,10,315 Oak Hill WB,1748
941,350,0,22,350 North Lamar Transit Center NB,6532
942,310,0,5,310 ACC Riverside EB,5663
943,10,1,34,10 Norwood Transit Center NB,1566
944,318,0,26,318 Thaxton EB,6484
945,333,1,24,333 Thaxton EB,4424
946,383,0,20,383 Lakeline Station NB,5290
947,383,1,5,383 North Lamar Transit Center SB,3820
948,300,1,16,300 Crestview Station NB,2266
949,3,1,28,3 Arboretum NB,764
950,333,0,24,333 Oak Hill WB,3174
951,315,1,11,315 Oak Hill WB,4219
952,335,0,18,335 Exposition WB,2088
953,325,0,17,325 Norwood Transit Center SB,5822
954,5,1,33,5 Northcross WB,4829
955,311,1,17,311 ACC RIVERSIDE EB,5487
956,310,0,6,310 ACC Riverside EB,1235
957,337,0,43,337 Mopac WB,2475
958,4,1,21,4 Shady EB,940
959,7,1,51,7 Airport/Highland NB,1262
960,315,1,12,315 Oak Hill WB,4220
961,1,1,32,1 Tech Ridge Park & Ride NB,5864
962,10,1,35,10 Norwood Transit Center NB,1567
963,30,1,32,30 Westgate Transit Center SB,1936
964,318,0,27,318 Thaxton EB,2663
965,837,0,15,837 Downtown SB,1639
966,311,0,26,311 Westgate Transit Center WB,4278
967,300,1,17,300 Crestview Station NB,1465
968,1,0,17,1 William Cannon SB,5445
969,18,1,27,18 Exposition WB,1517
970,333,1,25,333 Thaxton EB,3228
971,7,1,15,7 Crestview Station NB,1230
972,3,0,22,3 Southpark Meadows SB,5733
973,310,0,7,310 ACC Riverside EB,5456
974,837,1,8,837 Decker NB,1578
975,350,1,23,350 ACC Riverside SB,3300
976,325,1,18,325 Tech Ridge Park & Ride NB,4727
977,7,0,51,7 William Cannon SB,1203
978,383,1,6,383 North Lamar Transit Center SB,4465
979,800,1,12,800 Slaughter SB,4298
980,335,0,19,335 Exposition WB,2089
981,383,0,21,383 Lakeline Station NB,3809
982,5,1,34,5 Northcross WB,806
983,300,1,18,300 Crestview Station NB,1466
984,311,1,18,311 ACC RIVERSIDE EB,4393
985,10,0,52,10 Southpark Meadows SB,1676
986,311,0,27,311 Westgate Transit Center WB,4226
987,18,1,28,18 Exposition WB,1519
988,803,0,11,803 Domain NB,591
989,318,0,28,318 Thaxton EB,4412
990,325,0,18,325 Norwood Transit Center SB,5679
991,800,0,8,800 Mueller NB,6507
992,5,1,35,5 Northcross WB,807
993,801,1,18,801 Southpark Meadows SB,2738
994,310,0,8,310 ACC Riverside EB,4324
995,311,1,19,311 ACC RIVERSIDE EB,3116
996,1,1,33,1 Tech Ridge Park & Ride NB,5353
997,311,0,28,311 Westgate Transit Center WB,4224
998,324,1,1,324 Northcross WB,1160
999,325,1,19,325 Tech Ridge Park & Ride NB,5680
1000,333,0,1,333 Brush Country WB,5702
1001,333,0,25,333 Oak Hill WB,3175
1002,337,1,1,337 Decker EB,6408
1003,392,0,1,392 Tech Ridge Park & Ride EB,5580
1004,7,1,52,7 Airport/Highland NB,1263
1005,350,1,24,350 ACC Riverside SB,5100
1006,383,1,7,383 North Lamar Transit Center SB,4466
1007,30,1,33,30 Westgate Transit Center SB,1938
1008,350,0,23,350 North Lamar Transit Center NB,5918
1009,5,1,36,5 Northcross WB,4646
1010,4,1,22,4 Shady EB,942
1011,322,1,27,322 Hancock Center NB,1785
1012,383,0,22,383 Lakeline Station NB,3810
1013,7,1,16,7 Crestview Station NB,1231
1014,300,1,19,300 Crestview Station NB,1467
1015,2,1,14,2 Springdale NB,6314
1016,1,0,18,1 William Cannon SB,465
1017,315,0,8,315 S. Congress Transit Center EB,2335
1018,315,1,13,315 Oak Hill WB,5449
1019,318,1,16,318 Westgate Transit Center WB,2938
1020,837,1,9,837 Decker NB,1582
1021,310,0,9,310 ACC Riverside EB,1237
1022,333,1,26,333 Thaxton EB,3229
1023,800,1,13,800 Slaughter SB,1356
1024,837,0,16,837 Downtown SB,1642
1025,18,1,29,18 Exposition WB,5754
1026,318,0,29,318 Thaxton EB,4411
1027,311,0,29,311 Westgate Transit Center WB,3105
