stop_id,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
6479,2,3 Arboretum NB,1,3,1,1,30.167797,-97.79335,305 Slaughter/Alice Mae,False
6251,15,324 Highland EB,0,324,1,1,30.371708,-97.702935,1225 Mearns Meadow/Parkfield,False
3757,8,10 Norwood Transit Center NB,1,10,1,1,30.183697,-97.79269,7901 S 1st/Dittmar,False
5305,2,243 Tech Ridge Park & Ride EB,1,243,1,1,30.440104,-97.695268,3301 Wells Branch/Howard,False
4024,35,7 Airport/Highland NB,1,7,1,1,30.253005,-97.742945,504 Riverside/Newning,False
669,1,2 EASTSIDE BUS PLAZA SB,0,2,1,1,30.273534,-97.691296,Oak Springs/Springdale,False
5919,1,803 Westgate Transit Center SB,1,803,1,1,30.39985,-97.72045,Domain Station,True
916,32,10 Southpark Meadows SB,0,10,1,1,30.277723,-97.736643,Medical School SB (San Jacinto/17th),False
1017,2,350 North Lamar Transit Center NB,0,350,1,1,30.229539,-97.706558,Ruiz Library,False
2613,26,7 William Cannon SB,0,7,1,1,30.267331,-97.747037,Guadalupe/4th,False
1910,7,30 Westgate Transit Center SB,1,30,1,1,30.37058,-97.7466,Steck/Summerside,False
1017,2,311 Westgate Transit Center WB,0,311,1,1,30.229539,-97.706558,Ruiz Library,False
5278,3,243 Tech Ridge Park & Ride EB,1,243,1,1,30.44121,-97.692441,3001 Wells Branch/Summit,False
5099,2,20 Springdale NB,0,20,1,1,30.212636,-97.66384,New Airport/Employee,False
5640,4,18 Exposition WB,1,18,1,1,30.286729,-97.671079,5508 Martin Luther King Jr/Hilldale,False
6257,16,324 Highland EB,0,324,1,1,30.369808,-97.701042,1106 Mearns Meadow/Quail,False
4592,21,337 Mopac WB,0,337,1,1,30.319114,-97.69749,Cameron/Glencrest,False
5735,9,10 Norwood Transit Center NB,1,10,1,1,30.187782,-97.790505,7401 S 1st/Elderberry,False
5273,1,1 William Cannon SB,0,1,1,1,30.418266,-97.668678,Tech Ridge Bay H,False
1249,36,7 Airport/Highland NB,1,7,1,1,30.255868,-97.74546,150 Riverside/Congress,False
5873,1,801 Tech Ridge Park & Ride NB,0,801,1,1,30.162883,-97.790317,Southpark Meadows Station,True
6183,1,837 Downtown SB,0,837,1,1,30.291672,-97.628589,Decker (Loyola/Decker),True
4813,4,243 Tech Ridge Park & Ride EB,1,243,1,1,30.441506,-97.689979,2801 Wells Branch/Double File,False
1109,21,5 Northcross WB,1,5,1,1,30.272088,-97.730842,12th/IH-35,False
919,33,10 Southpark Meadows SB,0,10,1,1,30.275451,-97.737526,San Jacinto/14th,False
6524,3,311 Westgate Transit Center WB,0,311,1,1,30.226671,-97.708313,Grove at Riverside,False
6368,3,350 North Lamar Transit Center NB,0,350,1,1,30.226741,-97.70763,5925 Riverside/Grove,False
1338,2,2 EASTSIDE BUS PLAZA SB,0,2,1,1,30.270901,-97.692225,1050 Springdale/Prock,False
1911,8,30 Westgate Transit Center SB,1,30,1,1,30.37292,-97.74917,3822 Steck/Greenslope,False
2638,10,10 Norwood Transit Center NB,1,10,1,1,30.189842,-97.790405,7301 S 1st/Meadow Lea,False
467,7,801 Southpark Meadows SB,1,801,1,1,30.355296,-97.703128,Fairfield Rapid  Station (SB),True
6407,4,3 Arboretum NB,1,3,1,1,30.172829,-97.799722,603 Slaughter/1st,False
5641,5,18 Exposition WB,1,18,1,1,30.286744,-97.674512,5304  MLK Jr/Oldfort Hill,False
6258,17,324 Highland EB,0,324,1,1,30.366754,-97.70087,1020 Mearns Meadow/Rutland,False
4815,5,243 Tech Ridge Park & Ride EB,1,243,1,1,30.438537,-97.685392,2301 Wells Branch/Merrilltown,False
2870,22,337 Mopac WB,0,337,1,1,30.32283,-97.69413,6717 Cameron/Athletic,False
6393,2,333 Thaxton EB,1,333,1,1,30.230056,-97.878875,6964 Convict Hill/290,False
1912,9,30 Westgate Transit Center SB,1,30,1,1,30.373226,-97.752979,3924 Steck/Spicewood,False
5748,4,350 North Lamar Transit Center NB,0,350,1,1,30.226187,-97.70256,1803 Montopolis/Kasper,False
4602,6,18 Exposition WB,1,18,1,1,30.286309,-97.678798,Martin Luther King/Scottsdale,False
1339,3,2 EASTSIDE BUS PLAZA SB,0,2,1,1,30.267579,-97.694349,1018 Springdale/Goodwin,False
6241,3,20 Springdale NB,0,20,1,1,30.219402,-97.670379,1766 71/Thornberry,False
5416,5,3 Arboretum NB,1,3,1,1,30.174173,-97.804467,Slaughter/Simonetti,False
4817,6,243 Tech Ridge Park & Ride EB,1,243,1,1,30.436412,-97.683828,2107 Wells Branch/Renaissance,False
